id,hitemp_40,hitemp_35,hitemp_30,hitemp_25,hitemp_0,max_hitemp,max_hitemp_date,lwtemp_25,lwtemp_0,min_lwtemp,min_lwtemp_date,sm_rain,rain_7d,rain_15d
11001,0,0,0,0,56,24.2,2026-06-01,0,87,-11.0,2026-01-06,243.5,4.5,33.0
11016,0,0,0,0,43,24.9,2026-06-03,0,75,-11.0,2026-01-29,378.5,6.0,46.0
11046,0,0,0,0,46,24.2,2026-06-03,0,75,-11.1,2026-01-14,391.0,10.0,48.5
11061,0,0,0,1,46,26.3,2026-06-03,0,96,-21.1,2026-01-29,185.5,3.5,29.5
11076,0,0,0,1,54,26.2,2026-06-01,0,97,-18.3,2026-01-29,274.0,5.0,25.5
11091,0,0,0,1,44,25.3,2026-06-03,0,87,-10.9,2026-01-28,347.5,4.5,34.0
11121,0,0,0,1,49,28.3,2026-06-03,0,99,-23.5,2026-01-29,422.5,5.5,44.0
11151,0,0,0,1,40,25.1,2026-06-03,0,78,-9.9,2026-01-14,336.5,4.5,37.5
11176,0,0,0,1,45,27.1,2026-06-03,0,94,-18.5,2026-01-29,302.0,7.0,40.5
11206,0,0,0,2,53,28.0,2026-06-01,0,97,-18.5,2026-01-29,372.5,4.0,24.0
11276,0,0,1,4,48,31.0,2026-06-03,0,108,-23.9,2026-01-26,422.0,5.0,28.5
11291,0,0,1,2,51,30.1,2026-06-01,0,90,-12.8,2026-01-06,465.5,5.0,22.5
11316,0,0,1,4,47,30.5,2026-06-01,0,110,-24.7,2026-01-06,426.5,5.0,24.0
12011,0,0,1,2,47,30.3,2026-06-03,0,103,-23.8,2026-01-29,327.0,10.0,26.5
12041,0,0,2,5,48,31.4,2026-06-03,0,99,-26.5,2026-01-06,313.5,8.5,25.5
12066,--,--,--,--,--,--,--,--,--,--,--,341.0,8.5,24.0
12141,0,0,2,5,46,31.3,2026-06-03,0,102,-22.9,2026-02-09,336.5,10.5,22.0
12181,0,0,2,6,47,31.4,2026-06-03,0,101,-23.0,2026-02-09,264.5,10.5,22.5
12217,--,--,--,--,--,--,--,--,--,--,--,307.0,13.0,25.0
12231,0,0,0,6,46,29.6,2026-06-03,0,107,-23.7,2026-01-26,271.5,14.0,37.0
12256,--,--,--,--,--,--,--,--,--,--,--,259.5,17.5,29.5
12261,0,0,1,5,44,30.6,2026-06-03,0,98,-22.3,2026-01-26,333.5,16.0,35.0
12266,0,0,0,7,47,29.5,2026-06-03,0,108,-21.6,2026-01-26,286.0,16.0,37.0
12301,0,0,3,8,43,31.4,2026-06-03,0,94,-26.5,2026-01-26,280.0,19.0,33.0
12386,0,0,0,6,41,29.7,2026-06-03,0,113,-28.9,2026-01-26,433.5,24.0,53.0
12396,0,0,0,7,44,29.8,2026-06-03,0,106,-22.1,2026-01-26,232.0,19.5,42.0
12411,0,0,0,5,49,28.9,2026-06-01,0,109,-22.7,2026-01-26,284.0,19.0,46.5
12442,0,0,2,8,39,30.8,2026-06-03,0,91,-19.9,2026-01-26,340.5,24.5,45.5
12451,0,0,0,7,46,29.8,2026-06-03,0,95,-20.2,2026-01-26,221.0,24.5,43.5
12457,--,--,--,--,--,--,--,--,--,--,--,357.5,22.0,53.0
12471,--,--,--,--,--,--,--,--,--,--,--,378.0,12.0,41.5
12501,0,0,0,6,44,29.7,2026-06-03,0,101,-21.2,2026-01-26,211.0,24.0,41.5
12512,0,0,0,6,47,28.6,2026-06-02,0,100,-20.7,2026-01-26,279.5,27.0,48.5
12551,0,0,2,9,42,30.4,2026-06-01,0,106,-25.1,2026-01-26,240.0,25.0,44.5
12596,0,0,2,9,39,30.3,2026-06-01,0,97,-23.4,2026-02-08,247.0,28.5,50.0
12607,--,--,--,--,--,--,--,--,--,--,--,439.0,19.5,48.0
12626,0,0,2,10,39,31.1,2026-06-01,0,92,-26.7,2026-01-24,280.5,30.0,59.5
12632,0,0,2,8,45,30.4,2026-06-01,0,107,-24.9,2026-02-08,242.0,23.0,58.5
12686,--,--,--,--,--,--,--,--,--,--,--,390.5,49.5,78.0
12691,0,0,0,7,44,29.5,2026-06-02,0,103,-26.0,2026-01-24,294.5,39.5,58.5
12746,0,0,0,5,38,27.7,2026-06-03,0,114,-28.4,2026-01-26,357.0,28.0,65.0
13011,--,--,--,--,--,--,--,--,--,--,--,321.0,6.5,34.0
13061,0,0,0,1,43,26.0,2026-06-03,0,95,-22.7,2026-01-25,297.0,9.0,38.5
13086,0,0,0,2,43,27.3,2026-06-03,0,92,-19.2,2026-01-25,416.0,12.5,44.0
