id,prec_no,block_no,type
11001,11,1284,C
11016,11,47401,A
11046,11,1546,C
11061,11,1528,C
11076,11,1285,C
11091,11,1512,C
11121,11,1203,C
11151,11,0002,C
11176,11,1054,C
11206,11,0003,C
11276,11,1051,C
11291,11,47402,B
11316,11,0005,C
12011,12,1201,C
12041,12,1197,C
12066,12,1570,C
12141,12,0006,C
12181,12,0008,C
12217,12,0009,C
12231,12,0010,C
12256,12,1572,C
12261,12,0011,C
12266,12,1047,C
12301,12,1055,C
12386,12,1191,C
12396,12,1048,C
12411,12,0015,C
12442,12,47407,A
12451,12,1184,C
12457,12,0017,C
12471,12,1049,C
12501,12,1458,C
12512,12,1185,C
12551,12,1052,C
12596,12,1190,C
12607,12,0020,C
12626,12,0021,C
12632,12,1280,C
12686,12,1574,C
12691,12,1188,C
12746,12,1189,C
13011,11,1573,C
13061,13,0024,C
13086,13,0025,C
13121,13,1216,C
13146,13,1213,C
13181,13,47404,B
13206,13,1112,C
13261,13,1217,C
13277,13,47406,B
13311,13,0028,C
13321,13,1218,C
14026,14,1193,C
14071,14,1194,C
14101,14,0030,C
14116,14,0031,C
14121,14,1085,C
14136,14,1507,C
14157,14,0032,C
14163,14,47412,A
14191,14,0034,C
14206,14,0035,C
14286,14,0037,C
14296,14,1459,C
15041,12,1279,C
15076,12,1053,C
15116,15,0038,C
15161,15,0039,C
15197,15,1567,C
15216,15,1419,C
15231,15,1287,C
15241,15,0041,C
15247,15,1566,C
15251,15,0043,C
15276,15,1400,C
15311,15,0999,C
15321,15,0044,C
15356,15,47413,B
15391,15,1068,C
15431,15,0047,C
15442,15,0049,C
15451,15,1401,C
15491,15,1402,C
16026,16,0051,C
16061,16,1208,C
16076,16,0052,C
16091,16,47411,B
16126,16,1091,C
16156,16,0054,C
16206,16,0055,C
16217,16,47433,B
16252,16,47421,B
16272,16,1615,C
16281,16,1072,C
16286,16,0060,C
16321,16,0061,C
17036,17,47405,B
17076,17,0063,C
17091,17,1073,C
17112,17,47435,B
17116,17,1487,C
17166,17,0065,C
17196,17,0066,C
17211,17,0067,C
17246,17,0068,C
17306,17,0069,C
17316,17,0070,C
17341,17,47409,A
17351,17,0981,C
17386,17,1420,C
17482,17,1092,C
17501,17,0072,C
17512,17,0073,C
17521,17,0074,C
17531,17,1460,C
17541,17,1263,C
17546,17,0075,C
17561,17,0076,C
17596,17,0077,C
17607,17,1209,C
17631,17,0079,C
17642,17,1617,C
17686,17,1569,C
17717,17,0082,C
17776,17,1568,C
18038,18,0084,C
18091,18,1266,C
18136,18,0085,C
18161,18,1547,C
18171,18,0086,C
18174,18,1489,C
18256,18,0088,C
18273,18,47420,B
18281,18,1056,C
18311,18,1196,C
19021,19,0090,C
19051,19,1187,C
19076,19,0091,C
19151,19,0093,C
19191,19,1186,C
19261,19,0095,C
19281,19,1403,C
19301,19,1417,C
19311,19,1195,C
19346,19,0096,C
19347,19,1461,C
19376,19,1192,C
19406,19,1107,C
19416,19,0098,C
19432,19,47418,A
19451,19,1283,C
20047,20,1571,C
20071,20,1404,C
20146,20,0101,C
20186,20,0103,C
20202,20,1409,C
20222,20,1410,C
20266,20,0107,C
20276,20,0109,C
20331,20,1405,C
20341,20,0112,C
20356,20,0113,C
20361,20,0114,C
20371,20,1204,C
20421,20,0115,C
20432,20,47417,B
20441,20,0117,C
20451,20,1418,C
20506,20,0118,C
20551,20,1510,C
20556,20,1286,C
20601,20,1210,C
20606,20,1211,C
20631,20,1214,C
20696,20,0121,C
20751,20,47440,B
21031,21,0123,C
21111,21,0124,C
21126,21,0125,C
21161,21,1067,C
21171,21,0126,C
21187,21,47424,B
21226,21,0128,C
21237,21,1329,C
21251,21,1429,C
21261,21,0130,C
21276,21,0131,C
21297,21,0132,C
21312,21,0134,C
21323,21,47423,A
22036,22,1202,C
22072,22,1097,C
22106,22,1430,C
22141,22,0136,C
22156,22,0137,C
22206,22,0139,C
22241,22,0140,C
22291,22,1198,C
22306,22,1288,C
22327,22,47426,B
22356,22,1276,C
22366,22,1264,C
22391,22,1340,C
23031,23,0143,C
23086,23,0144,C
23166,23,0145,C
23191,23,0146,C
23206,23,0147,C
23226,23,0148,C
23232,23,47430,A
23281,23,1462,C
23291,23,1543,C
23321,23,1552,C
23326,23,0917,C
23356,23,1265,C
23376,23,0152,C
24041,24,0153,C
24051,24,0154,C
24101,24,1199,C
24141,23,0155,C
24156,24,1513,C
24166,24,0156,C
24201,24,1200,C
24217,24,47428,B
24236,24,1205,C
31001,31,1041,C
31036,31,1559,C
31111,31,47576,B
31121,31,1122,C
31136,31,1026,C
31156,31,1124,C
31186,31,1119,C
31201,31,0160,C
31296,31,0164,C
31312,31,47575,A
31321,31,1042,C
31332,31,0162,C
31336,31,1027,C
31366,31,0163,C
31386,31,1495,C
31411,31,1183,C
31436,31,47574,B
31451,31,1108,C
31461,31,0166,C
31466,31,0167,C
31482,31,1079,C
31506,31,0169,C
31551,31,0174,C
31562,31,1406,C
31586,31,0172,C
31602,31,47581,B
31646,31,0175,C
31662,31,0177,C
31671,31,1272,C
31721,31,0179,C
32056,32,1043,C
32071,32,1273,C
32091,32,0181,C
32096,32,1408,C
32111,32,0183,C
32126,32,0184,C
32136,32,0912,C
32146,32,0185,C
32181,32,1463,C
32206,32,0186,C
32266,32,1289,C
32276,32,1422,C
32286,32,1036,C
32287,32,1035,C
32296,32,0188,C
32311,32,1131,C
32312,32,1115,C
32376,32,1278,C
32402,32,47582,A
32407,32,0192,C
32408,32,1425,C
32426,32,1167,C
32451,32,1511,C
32466,32,0193,C
32476,32,0194,C
32496,32,1050,C
32551,32,0195,C
32571,32,0196,C
32581,32,1117,C
32596,32,0198,C
32616,32,0199,C
32626,32,0200,C
32681,32,1407,C
32691,32,0202,C
32701,32,1109,C
32771,32,0204,C
33006,33,0205,C
33026,33,0206,C
33071,33,0207,C
33086,33,1037,C
33136,33,1219,C
33146,33,0209,C
33166,33,1120,C
33176,33,1215,C
33186,33,0211,C
33201,33,1332,C
33206,33,1123,C
33226,33,0214,C
33296,33,1032,C
33326,33,0218,C
33336,33,1212,C
33351,33,1168,C
33361,33,1560,C
33371,33,1078,C
33421,33,0221,C
33431,33,47584,A
33441,33,1447,C
33472,33,47585,B
33501,33,1128,C
33526,33,1224,C
33566,33,0226,C
33576,33,0227,C
33581,33,0228,C
33611,33,1508,C
33616,33,1033,C
33631,33,0229,C
33671,33,0231,C
33711,33,1558,C
33716,33,0230,C
33726,33,1113,C
33751,33,0233,C
33776,33,0235,C
33781,33,0236,C
33801,33,1206,C
33831,33,1028,C
33841,33,1045,C
33856,33,1557,C
33877,33,47512,B
33911,33,0238,C
33921,33,0239,C
34012,34,1126,C
34026,34,0242,C
34056,34,1526,C
34096,34,0243,C
34111,34,0244,C
34171,34,1029,C
34186,34,0246,C
34206,34,1561,C
34216,34,0247,C
34241,34,0985,C
34262,34,1365,C
34266,34,0248,C
34276,34,0249,C
34292,34,47592,B
34296,34,1626,C
34311,34,0251,C
34331,34,1030,C
34392,34,47590,A
34436,34,1464,C
34461,34,0256,C
34462,34,1564,C
34471,34,0257,C
34506,34,1220,C
34526,34,1298,C
35002,35,1291,C
35052,35,47587,B
35071,35,0260,C
35086,35,1465,C
35116,35,0262,C
35141,35,0263,C
35146,35,0264,C
35162,35,47520,B
35171,35,0266,C
35176,35,0910,C
35201,35,0268,C
35216,35,1125,C
35231,35,1039,C
35246,35,1040,C
35256,35,1357,C
35332,35,1539,C
35334,35,1488,C
35361,35,1292,C
35376,35,0272,C
35426,35,47588,A
35456,35,0275,C
35466,35,1562,C
35486,35,0277,C
35511,35,1132,C
35537,35,1372,C
35541,35,0278,C
35552,35,0279,C
36056,36,1293,C
36066,36,0281,C
